action,video_title,video_link,author_name,author_link
liked,"Nando Fortunato - Take Me (Original Mix)",https://youtube.com/watch?v=WfCJYq7zCHg,"Nando Fortunato",https://youtube.com/channel/UCCB6sAb8YsTr16-bIxFQUhA
liked,"anamē - Anywhere (Alkali. Edit) [FREE]",https://youtube.com/watch?v=tHFeFpvhRwA,"Ledge Sounds",https://youtube.com/channel/UCSfNQtA4Qd3NLMBAPp3FP5A
liked,"Thievery Corporation - Meu Destino (L-Side Bootleg) [FREE]",https://youtube.com/watch?v=HvIjuIod1-E,"Ledge Sounds",https://youtube.com/channel/UCSfNQtA4Qd3NLMBAPp3FP5A
disliked,"Best of Carbon Based Lifeforms",https://youtube.com/watch?v=XWNsWZ5VtWc,"Cure Music",https://youtube.com/channel/UCrMbaZ-frGefKfZFIGa-qFg
disliked,"Skibidi toilet song #lyrics #copyrightfree",https://youtube.com/watch?v=0gG6dF-JTUo,"Infinite Gameplay s.a.a.z",https://youtube.com/channel/UCB8wWrYwKwU9Vi014E-aPAA
liked,"Ciao Ragazzi",https://youtube.com/watch?v=ZXS66R07pVU,"The Meteors - Topic",https://youtube.com/channel/UCT8ex646xjuSNSZVaVpszOQ
disliked,"Limpando a escada rolante",https://youtube.com/watch?v=rCW1aGpFrJg,"Spider Slack",https://youtube.com/channel/UCtiddfzHXNevG-yYe5vc_4Q
disliked,"The Strongest Police Officer Ever (@catchupfeed)",https://youtube.com/watch?v=fhbVUKsmZsA,"Mega Moments",https://youtube.com/channel/UCPt5dZyfOicIlsqWqFpipGg
liked,"wilo wilde - shy girl (official lyric video)",https://youtube.com/watch?v=-7dfDMEMsZc,"wilo wilde",https://youtube.com/channel/UCiJFu-Z3J-4Kcgcw-rynFpQ
liked,"Ancient Astronauts & Azeem - Caravans to Mecca",https://youtube.com/watch?v=mDBs0DZ64V4,"Switchstance Recordings",https://youtube.com/channel/UCXXzE0NgflmiKoZyVNQePXw
liked,"Opća Opasnost  - Ti Mi Nećeš Reći Zbogom",https://youtube.com/watch?v=eW-CFqW-jm8,"wearemanutd",https://youtube.com/channel/UCcnCuC4gzXZY7tsn03snmuw
liked,"Jason Ross feat. Dia Frampton - Never Alone (Official Lyric Video) (@JasonRossOfc)",https://youtube.com/watch?v=hG60jLmeoHM,"Anjunabeats",https://youtube.com/channel/UCC1qRH2kSGu7AzBwqEPVnjg
liked,"A Breath of Fresh Air",https://youtube.com/watch?v=AHtDXICShos,"MrSuicideSheep",https://youtube.com/channel/UC5nc_ZtjKW1htCVZVRxlQAQ
disliked,"Apple 🍎 charging cable inside view iPhone cable #techrecharge",https://youtube.com/watch?v=UYNCOtpqyZs,"Tech recharge ",https://youtube.com/channel/UCr6JKkHKFfFB25iw2j3MhIg
liked,"Drive checkboxes and text with expressions in Onshape",https://youtube.com/watch?v=6HoMM2A3fm4,"Ovyl",https://youtube.com/channel/UCKqscUv7ykxAf9SzhIAkpCw
disliked,"What CAD software should you learn?",https://youtube.com/watch?v=AeJWlFuSCrw,"SolidWorks With Aryan Fallahi",https://youtube.com/channel/UCRmLnVaHsSAH0HkXfeoxG6w
disliked,"Chillout Music 2023 | Aurora Night - Always Be A Child ( Children's Day Mix )",https://youtube.com/watch?v=dJM9GFYfzIc,"Aurora Night",https://youtube.com/channel/UCfw9rO6L26d7_aW61HHa91w
disliked,"Chillout Music 2022 | Aurora Night - A Year Long Story ( Part III )",https://youtube.com/watch?v=76Pdg2-BpG0,"Aurora Night",https://youtube.com/channel/UCfw9rO6L26d7_aW61HHa91w
liked,"model rocket launch",https://youtube.com/watch?v=votYiIfiQ3Y,"Nick Volk",https://youtube.com/channel/UC7DmdgWTcfmboNL5cNJhaiA
liked,"How to make a Paperclip Cube",https://youtube.com/watch?v=h4SsY_aRWrk,"SLG",https://youtube.com/channel/UC9-57Ntc215xLogxRrvy57w
liked,"Alpha Rhythm - Everfrost",https://youtube.com/watch?v=FgolNeB-PJQ,"Liquiddnbftw",https://youtube.com/channel/UC2nyzWMWgoYnbrJjeEpETLw
liked,"LIONE - Glimmer (William Black Remix)",https://youtube.com/watch?v=HC92fGyfKuw,"AirwaveMusicTV",https://youtube.com/channel/UCwIgPuUJXuf2nY-nKsEvLOg
disliked,"Indie Playlist | February 2024",https://youtube.com/watch?v=QH299PdzRwI,"Indie Playlists",https://youtube.com/channel/UCwLxgZHR8oDOzJXtXuSB_bA
liked,"In:Most - Cloud Nine Mix",https://youtube.com/watch?v=YqWPZI-fIpE,"Soulvent Records",https://youtube.com/channel/UC2RU3Y4ruKpf1b2ogHUun3g
